iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;18:39:26;18:39:26;18:39:26;;;18:39:26;18:39:26;18:39:26;18:39:26;18:39:26;18:39:26;18:39:26;18:39:29;18:39:29;18:39:29;18:39:29;18:39:29;18:39:29;18:39:29;18:39:29;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
1;18:39:29;18:39:29;18:39:29;18:39:29;18:39:29;18:39:29;18:39:29;18:39:29;18:39:29;18:39:29;18:39:29;18:39:29;18:39:31;18:39:31;18:39:31;18:39:31;18:39:31;18:39:31;18:39:31;18:39:31;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
2;18:39:31;18:39:31;18:39:31;18:39:31;18:39:31;18:39:31;;;18:39:31;18:39:31;18:39:31;18:39:31;18:39:33;18:39:33;18:39:33;18:39:33;18:39:33;18:39:33;18:39:33;18:39:33;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
3;18:39:33;18:39:33;18:39:33;18:39:33;18:39:33;18:39:33;;;18:39:33;18:39:33;18:39:33;18:39:33;18:39:35;18:39:35;18:39:35;18:39:35;18:39:35;18:39:35;18:39:36;18:39:36;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:02
4;18:39:36;18:39:36;18:39:36;18:39:36;18:39:36;18:39:36;;;18:39:36;18:39:36;18:39:36;18:39:36;18:39:37;18:39:37;18:39:37;18:39:37;18:39:37;18:39:37;18:39:38;18:39:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
5;18:39:38;18:39:38;18:39:38;18:39:38;18:39:38;18:39:38;;;18:39:38;18:39:38;18:39:38;18:39:38;18:39:39;18:39:39;18:39:39;18:39:39;18:39:39;18:39:39;18:39:40;18:39:40;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
6;18:39:40;18:39:40;18:39:40;18:39:40;18:39:40;18:39:40;;;18:39:40;18:39:40;18:39:40;18:39:40;18:39:41;18:39:41;18:39:41;18:39:41;18:39:41;18:39:41;18:39:42;18:39:42;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
7;18:39:42;18:39:42;18:39:42;18:39:42;18:39:42;18:39:42;;;18:39:42;18:39:42;18:39:42;18:39:42;18:39:44;18:39:44;18:39:44;18:39:44;18:39:44;18:39:44;18:39:44;18:39:44;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
8;18:39:44;18:39:44;18:39:44;18:39:44;18:39:44;18:39:44;;;18:39:44;18:39:44;18:39:44;18:39:44;18:39:46;18:39:46;18:39:46;18:39:46;18:39:46;18:39:46;18:39:46;18:39:46;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
9;18:39:46;18:39:46;18:39:46;18:39:46;18:39:46;18:39:46;;;18:39:46;18:39:46;18:39:46;18:39:46;18:39:48;18:39:48;18:39:48;18:39:48;18:39:48;18:39:48;18:39:48;18:39:48;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
10;18:39:48;18:39:48;18:39:48;18:39:48;18:39:48;18:39:48;;;18:39:48;18:39:48;18:39:48;18:39:48;18:39:50;18:39:50;18:39:50;18:39:50;18:39:50;18:39:50;18:39:50;18:39:50;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
